ITFACIL - Resultado Analitico de Backup

Report Time Frame: Previous 24 Hours
Nome do Job,Nome do Servidor,Status do Backup,Inicio do Backup,Final do Backup,Volume Protegido(GB),Tipo de Backup,Nome do Agendamento
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMFRONTNICOLA01,Successful,"Nov 26, 2024 6:01:42 PM","Nov 26, 2024 6:02:52 PM",15.25,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMERCA101,Successful,"Nov 26, 2024 6:01:35 PM","Nov 26, 2024 6:01:58 PM",34.65,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMERCA101,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:02:04 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDTS100P,Successful,"Nov 26, 2024 6:26:38 PM","Nov 26, 2024 6:39:24 PM",255.9,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDTS100P,Successful,"Nov 26, 2024 6:00:01 PM","Nov 26, 2024 6:39:42 PM",0,Snapshot,UNKNOWN
ITFACIL_WIN_EEHQVMDTS100P_FS,EEHQVMDTS100P,Partially Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:19:06 PM",5.15,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDCKIMG100,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:02:12 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDCKIMG100,Successful,"Nov 26, 2024 6:01:25 PM","Nov 26, 2024 6:02:06 PM",12.37,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDC102,Successful,"Nov 26, 2024 6:25:39 PM","Nov 26, 2024 6:29:32 PM",54.15,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDC102,Successful,"Nov 26, 2024 6:00:01 PM","Nov 26, 2024 6:29:42 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMDC101,EEHQVMDC101,Successful,"Nov 26, 2024 7:00:15 PM","Nov 26, 2024 7:04:52 PM",91.82,Backup,Diario
ITFACIL_VMWARE_EEHQVMDC101,EEHQVMDC101,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:05:06 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDBZBX110,Successful,"Nov 26, 2024 6:00:43 PM","Nov 26, 2024 6:01:28 PM",26.33,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMDBZBX110,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:01:34 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMAUTOREG01,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:01:26 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMAUTOREG01,Successful,"Nov 26, 2024 6:00:47 PM","Nov 26, 2024 6:01:20 PM",107.32,Backup,Diario
ITFACIL_VMWARE_EEHQVMAPPFRONT110,EEHQVMAPPFRONT110,Successful,"Nov 26, 2024 7:00:15 PM","Nov 26, 2024 7:03:48 PM",46.15,Backup,Diario
ITFACIL_VMWARE_EEHQVMAPPFRONT110,EEHQVMAPPFRONT110,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:03:54 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMAPPBACK01,Successful,"Nov 26, 2024 6:00:46 PM","Nov 26, 2024 6:02:30 PM",17.92,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMAPPBACK01,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:02:36 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,ECOMVMAPP01H,Successful,"Nov 26, 2024 6:00:42 PM","Nov 26, 2024 6:01:32 PM",14.66,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,ECOMVMAPP01H,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:01:38 PM",0,Snapshot,UNKNOWN
"Report generated on Nov 27, 2024 3:00:48 PM"
